CAAB_code,Parent_CAAB,level_1,level_2,level_3,level_4,level_5,level_6,level_7,family,genus,species
63605902,63605000,Biota,Seagrasses,Elliptical Leaves,,,,,Hydrocharitaceae,Halophila,spp
63618901,63618000,Biota,Seagrasses,Strap-Like Leaves,,,,,Cymodoceaceae,Amphibolis,spp
63617901,63617000,Biota,Seagrasses,Strap-Like Leaves,,,,,Posidoniaceae,Posidonia,spp
63619902,63619000,Biota,Seagrasses,Strap-Like Leaves,,,,,Zosteraceae,Zostera,spp
63614901,63614000,Biota,Seagrasses,Strap-Like Leaves,,,,,Ruppiaceae,Ruppia,spp
63618905,63618000,Biota,Seagrasses,Strap-Like Leaves,,,,,Cymodoceaceae,Thalassodendron,spp
54079009,54079903,Biota,Macroalgae,Large Canopy-Forming,Brown,,,,Lessoniaceae,Ecklonia,radiata
54102005,54102903,Biota,Macroalgae,Large Canopy-Forming,Brown,,,,Seirococcaceae,Scytothalia,dorycarpa
54102902,54102000,Biota,Macroalgae,Large Canopy-Forming,Brown,,,,Seirococcaceae,Phyllospora,spp
54105902,54105000,Biota,Macroalgae,Erect Coarse Branching,Brown,,,,Sargassaceae,Sargassum,spp
82003008,82003005,Physical,Relief,High,Caves,,,,,,
