Scientific name,Common name,CAAB,Pressure,Targetted,NVCL ecosystem,Comments,Species level obs in OBIS (in AMPs),Gear type
Acanthaster planci,Crown-of-thorns starfish,25145002,Fishing???,,Shallow coral reef,Folks - the NVCL ecosystem column needs to be completed!,y,
Centrostephanus rodgersii,Long-spined sea urchin,25211001,Climate,,"Shallow rocky reef, Mesophotic Rocky reef, Rariphotic shelf reef",,y,
Haliotis spp,Abalone,24038901,Fishing,CR,"Shallow rocky reef, Mesophotic Rocky reef",,y (two species ovina and dissona),
Maoricolpus roseus,NZ Screwshell,24079001,Invasive spp,,Unvegetated shelf sediments,,y,
Panulirus ornatus,Ornate rock lobster,28820006,Fishing,CR,"Shallow coral reef, Mesophotic coral reefs",,n,
Sagmariasus verreauxi,Eastern rock lobster,28820002,Fishing,CR,"Shallow rocky reef, Mesophotic Rocky reef, Rariphotic shelf reef",,y,
Jasus edwardsii,Southern rock lobster,28820001,Fishing,CR,"Shallow rocky reef, Mesophotic Rocky reef, Rariphotic shelf reef",,y,
Panulirus cygnus,Western rock lobster,28820005,Fishing,CR,"Shallow rocky reef, Mesophotic Rocky reef, Rariphotic shelf reef",,y,
Pecten fumatus,Commercial scallop,23270007,Fishing,CR,Unvegetated shelf sediments,,y,
Pseudocarcinus gigas,Giant crab,28915002,Fishing,C,Shelf break sediments,,n,
Holothuria scabra,sand fish,25416004,Fishing,C,"Shallow coral reef, unvegetated shelf sediments",,n,
Actinopyga echinites,deepwater redfish,25416001,Fishing,C,"Shallow coral reef, unvegetated shelf sediments",,n,
Actinopyga spinea,burrowing blackfish,25416064,Fishing,C,"Shallow coral reef, unvegetated shelf sediments",,n,
Holothuria fuscogilva,white teatfish,25416006,Fishing,C,"Shallow coral reef, unvegetated shelf sediments",,n,
Penaeus indicus,Redleg banana prawn,28711045,Fishing,C,? https://www.fish.gov.au/report/272-BANANA-PRAWNS-2020,,n,Net/Trawl
Penaeus merguiensis,white banana prawn,28711050,Fishing,C,? https://www.fish.gov.au/report/272-BANANA-PRAWNS-2020,,n,Net/Trawl
Metapenaeus endeavouri,Blue Endeavour Prawn,28711026,Fishing,C,,,y,Net/Trawl
Metapenaeus ensis,Red Endeavour Prawn,28711027,Fishing,C,,,y,Net/Trawl
Portunus armatus,Blue swimmer crab,28911005,Fishing,CR,,,y,
Hypothalassia acerba,Champagne Crab,27916001,Fishing,C,?https://www.fish.gov.au/report/410-Champagne-Crab-2020,,n,
Chaceon albus,Crystal Crab,28910003,Fishing,C,?https://www.fish.gov.au/report/415-Crystal-Crab-2020,,y,
Pseudocolochirus violaceus,[a holothurian],25408031,Fishing,C,,,y,
Actinopyga echinites,deepwater redfish (sea cucumber),25416001,Fishing,C,,,n,
Actinopyga mauritiana,surf redfish (sea cucumber),25416002,Fishing,C,,,y,
Holothuria atra,Lolly fish,25416003,Fishing,C,,,n,
Actinopyga miliaris,blackfish (sea cucumber),25416007,Fishing,C,,,y,
Actinopyga lecanora,stonefish (sea cucumber),25416009,Fishing,C,,,y,
Holothuria fuscopunctata,Elephant's trunk fish,25416032,Fishing,C,,,n,
Holothuria whitmaei,Black teatfish,25416033,Fishing,C,,,n,
Stichopus chloronotus,greenfish (sea cucumber),25417001,Fishing,C,,,y,
Thelenota ananas,prickly redfish (sea cucumber),25417003,Fishing,C,,,y,
Thelenota anax,Amberfish,25417004,Fishing,C,,,y,
Stichopus horrens,[a holothurian],25417007,Fishing,C,,,y,
Pseudocolochirus axiologus,Selenka's Sea Cucumber,25408031,Fishing,C,,,n,
Sepia cultrata,Cuttlefish,23607002,Fishing,C,,,y,
Sepia novaehollandiae,Cuttlefish,23607005,Fishing,C,,,n,
Sepia rozella,Rosecone cuttlefish,23607010,Fishing,C,,,n,
Sepia braggi,Cuttlefish,23607014,Fishing,C,,,n,
Sepia hedleyi,Cuttlefish,23607021,Fishing,C,,,n,
Sepia grahami,Cuttlefish,23607036,Fishing,C,,,n,
Sepioteuthis australis,southern calamari,23617005,Fishing,C,,,y,
Nototodarus gouldi,Gould's squid,23636004,Fishing,C,,,y,
Order Octopoda - undifferentiated,octopods,23650000,Fishing,C,,,"NA (not species level, see SQUIDLE)",
Octopus berrima,southern keeled octopus,23659002,Fishing,C,,,y,
Pinnoctopus cordiformis,Maori octopus,23659913,Fishing,C,,,n,
Octopus pallidus,pale octopus,23659004,Fishing,C,,,n,
Australostichopus mollis,[a holothurian],25417009,Fishing,C,,,n,
Scyllaridae - undifferentiated,shovel-nosed and slipper lobsters,28821000,Fishing,C,,,n,
Ibacus alticrenatus,whitetail bug,28821001,Fishing,C,,,n,
Ibacus peronii,eastern Balmain bug,28821004,Fishing,C,,,n,
Melicertus plebejus,Eastern King Prawn,28711052,Fishing,C,Eastern King Prawn 2020 (fish.gov.au),,n,
Metapenaeus macleayi,Eastern School Prawn,28711029,Fishing,C,Eastern School Prawn 2020 (fish.gov.au),,n,
Thenus parindicus,Mud Bug,28821007,Fishing,C,MORETON BAY BUGS 2020 (fish.gov.au),,y,
Thenus australiensis,Sand Bug,28821008,Fishing,C,MORETON BAY BUGS 2020 (fish.gov.au),,y,
Melicertus longistylus,Redspot King Prawn,28711048,Fishing,C,,,n,
Haliporoides sibogae,Royal Red Prawn,28714005,Fishing,C,,,y,
Penaeus esculentus,Brown Tiger Prawn,28711044,Fishing,C,,,n,
Penaeus semisulcatus,Grooved Tiger Prawn,28711053,Fishing,C,,,n,
Melicertus latisulcatus,Western King Prawn,28711047,Fishing,C,,,n,
Octopus australis,Hammer octopus,23659001,Fishing,C,,,n,
Haliotis laevigata,Greenlip Abalone,24038004,Fishing,C,,,n,
Haliotis rubra rubra,Blacklip Abalone,24038006,Fishing,C,,,n,
Haliotis rubra conicopora,Brownlip Abalone,24038002,Fishing,C,,,n,
Haliotis roei  ,Roe's Abalone,24038005,Fishing,C,,,n,
Ranina ranina,Spanner Crab,28865001,"Climate, Fishing",CR,Unvegetated shelf sediments,,y,
Heliocidaris tuberculata,red sea urchin,25247002,"Climate, Fishing",CR,Shallow rocky reef,,y,
Heliocidaris erythrogramma,short-spined sea urchin,25247001,"Climate, Fishing",CR,Shallow rocky reef,,y,
Turbo spp,Turbin Snail,24045901,"Climate, Fishing",CR,Shallow rocky reef,"Turbo torquatus, Turbo militaris and Turbo undulatus.",y (Turbo marmoratus),
Plebidonax deltoides,Pipi,23359001,Fishing,CR,,,n,
,Beach worms,22500000,Fishing,CR,,,"NA (not species level, see SQUIDLE)",
Octopus djinda,Western Rock Octopus,23659005,Fishing,C,,,n,
Lunella undulata,Wavy Periwinkle,24045004,Fishing,C,,,y,
Ylistrum balloti,Ballot's Saucer Scallop,23270001,Fishing,C,,,n,
Asterodiscides truncatus,Pin cusion seastar,25128001,Climate,,"Shallow rocky reef, Mesophotic Rocky reef, Rariphotic shelf reef",,y,
Melo miltonis,Southern Baler shell,24207072,Climate,,"Shallow rocky reef, Mesophotic Rocky reef, Rariphotic shelf reef",,n,
Trochus spp,"Trochus snail, Top snail",24046952,Fishing,Cultural fishing,shallow coral reefs,of interest to Traditional Owners including in Ashmore and boot reefs of Coral Sea Marine Park,,
